1	6,2,9;12,3,7;13,3,7;11,3,10;4,4,8;9,4,6;8,4,9;1,5,7;0,5,6;14,6,10;27,7,9;25,8,9;21,8,8;15,8,9;17,9,7;28,10,9;24,11,6;26,12,8;18,12,10;36,13,6;38,13,6;23,14,7;31,14,9;41,15,8;39,15,8;32,16,9;42,16,6;33,17,6;43,17,7;49,19,9;50,20,8;34,21,9;59,22,8;58,23,8;53,23,9;48,24,6;56,24,6;47,25,9;54,26,10;51,29,9
2	9,1,10;14,3,7;13,3,8;8,3,8;1,4,9;0,4,8;7,7,9;10,7,7;11,8,8;17,8,7;15,8,9;2,9,8;26,9,8;25,10,9;23,11,6;24,11,9;22,13,9;16,14,9;28,14,9;37,15,9;29,16,10;33,16,8;42,18,8;44,18,6;32,19,10;36,20,10;41,20,7;43,21,9;38,22,9;55,23,7;40,24,9;47,25,10;52,25,9;51,26,8;46,26,8;45,27,8;54,27,6;49,28,8;48,28,8;53,29,6
3	7,1,9;8,2,8;5,3,6;10,3,9;14,3,8;11,4,10;9,4,10;0,5,9;4,6,6;27,6,7;13,7,8;19,8,9;23,8,6;22,9,8;20,9,8;21,12,7;15,16,10;28,16,7;18,17,6;39,17,7;29,18,10;43,18,6;44,19,8;41,19,8;38,20,8;37,20,7;40,20,6;36,21,8;33,21,9;58,21,10;42,22,9;59,22,9;57,25,9;55,25,7;53,26,6;49,26,8;47,27,10;54,30,10;46,31,10;45,32,9
4	4,1,8;8,1,10;10,2,9;7,2,7;14,3,7;9,4,9;1,5,10;12,5,8;17,5,10;15,6,10;3,7,8;29,7,8;27,8,8;6,9,6;22,10,6;16,11,10;20,11,8;26,11,7;28,12,9;37,12,8;40,13,10;21,14,9;39,14,7;35,17,6;41,18,8;31,19,6;34,20,7;36,22,10;30,23,7;53,25,9;38,26,10;47,26,6;57,27,10;59,27,10;58,28,10;55,28,6;51,29,7;46,29,7;45,32,10;49,37,8
5	10,1,7;5,1,6;2,3,7;4,4,9;12,4,6;8,4,9;7,5,7;0,5,6;22,5,8;13,6,8;11,8,8;21,8,7;18,9,9;26,10,9;25,10,8;20,11,7;15,12,9;23,12,10;42,12,7;17,14,8;35,14,8;39,14,10;19,15,8;40,15,6;30,15,9;34,16,7;33,17,8;36,18,6;32,19,8;58,19,9;48,19,10;49,20,9;57,21,7;46,22,8;44,23,9;55,23,10;56,25,6;47,25,7;45,26,7;52,28,10
6	11,2,6;5,2,10;1,2,8;3,3,7;10,4,9;2,4,7;0,4,6;6,5,8;8,5,7;4,6,6;24,7,10;16,7,6;27,8,9;29,9,10;19,10,7;21,10,10;20,12,7;17,12,6;37,12,7;25,13,7;31,14,6;30,14,9;15,15,6;40,16,10;32,16,7;44,17,10;43,17,6;34,17,7;42,18,9;41,19,8;58,19,9;59,19,8;53,20,7;50,20,7;48,20,6;57,21,9;52,21,7;47,22,8;51,23,8;49,27,8
7	13,1,7;12,1,9;4,1,10;6,2,6;14,4,7;10,4,9;2,5,10;1,6,9;7,7,10;24,7,6;26,7,10;3,8,9;17,8,9;19,9,10;29,9,8;18,11,8;27,13,9;21,13,6;23,14,6;15,15,9;32,15,7;39,16,9;40,17,7;41,17,7;31,18,8;33,18,7;43,19,9;42,20,10;44,21,8;35,22,9;45,22,8;55,22,8;58,23,7;56,23,6;57,24,9;51,25,10;50,27,10;46,28,8;53,31,7;52,34,8
8	8,3,10;9,3,7;2,3,10;11,4,10;5,6,8;12,6,10;13,7,7;10,7,10;14,9,6;0,10,7;22,11,10;23,12,6;18,14,9;24,14,9;28,15,7;20,15,6;27,16,6;26,17,6;32,17,6;29,18,9;19,19,10;34,19,6;33,19,8;37,20,7;35,21,10;31,21,9;42,22,8;39,23,6;30,23,7;51,23,10;43,25,8;58,25,10;54,25,6;46,26,6;55,26,7;52,29,10;56,30,6;49,31,10;45,32,6;48,36,6
9	3,1,9;13,1,8;11,2,6;9,2,7;10,3,10;2,3,8;1,3,8;7,4,8;4,4,10;14,5,8;26,7,10;15,7,7;19,9,10;23,9,10;17,10,8;22,11,7;20,12,8;28,12,6;40,12,9;18,14,10;42,14,7;16,15,10;31,15,7;34,15,8;32,16,6;44,16,7;35,16,9;30,18,8;33,18,6;36,19,9;58,19,10;57,20,8;45,22,8;49,22,9;59,23,7;50,24,7;53,24,7;54,24,10;51,25,6;52,27,7
10	2,2,10;0,2,6;5,3,9;1,3,9;3,4,8;12,4,10;9,5,10;8,5,10;14,6,10;26,6,6;29,8,9;28,8,7;6,9,9;18,9,8;15,10,10;16,10,9;21,10,10;17,11,8;43,12,9;38,13,6;22,14,7;40,14,6;24,15,8;36,15,7;30,16,9;44,16,6;31,18,6;37,18,9;53,18,9;41,19,7;51,19,10;34,20,9;59,20,7;48,21,8;45,22,10;52,22,6;57,23,7;55,23,9;50,25,6;54,26,10
11	9,1,9;6,2,7;10,2,10;11,3,7;7,3,10;13,4,7;14,4,7;0,5,6;28,5,6;21,6,6;2,7,7;23,7,10;1,8,8;16,8,6;18,9,6;15,9,7;24,10,8;29,11,10;38,11,9;26,12,8;42,13,7;31,13,10;39,14,10;36,16,6;44,18,6;20,19,7;33,21,7;43,22,6;37,22,6;41,24,8;59,24,8;50,25,10;47,25,10;53,26,6;54,26,10;51,27,8;46,27,6;58,27,9;49,28,7;52,29,8
12	4,2,6;10,2,6;3,3,8;6,3,6;5,3,6;0,4,9;11,4,10;8,5,10;18,5,8;9,6,8;20,7,9;19,7,9;21,8,7;25,8,7;7,9,6;15,9,7;17,9,10;22,10,9;28,10,8;35,10,7;24,13,7;41,14,10;32,15,7;38,16,7;40,16,8;42,17,10;44,17,7;39,18,6;45,18,8;33,19,7;59,19,9;54,19,9;57,20,6;50,20,9;48,21,6;46,22,8;36,23,6;52,23,6;58,26,8;47,29,8
13	10,1,6;11,1,8;13,2,9;2,2,9;5,2,10;1,3,9;6,4,8;3,4,9;12,5,6;27,5,10;14,8,6;26,9,6;20,9,8;19,10,7;25,11,9;29,12,6;28,13,7;17,14,10;37,14,7;22,15,10;36,15,8;18,16,10;34,16,9;38,17,6;30,18,6;43,18,7;41,19,6;39,19,9;53,19,9;35,20,9;49,20,6;51,20,6;42,21,8;59,22,9;57,23,7;52,24,8;55,25,10;50,26,7;48,27,10;45,28,7
